Bias,J(pixel 2)
V,mA/cm^2
-0.2,-22.4661
-0.18,-22.506
-0.16,-22.506
-0.14,-22.4661
-0.12,-22.506
-0.1,-22.4661
-0.08,-22.4661
-0.06,-22.4661
-0.04,-22.4661
-0.02,-22.4262
0,-22.4661
0.02,-22.4661
0.04,-22.4262
0.06,-22.3863
0.08,-22.3863
0.1,-22.2666
0.12,-22.3065
0.14,-22.3464
0.16,-22.3065
0.18,-22.2666
0.2,-22.2666
0.22,-22.3464
0.24,-22.3863
0.26,-22.3863
0.28,-22.3863
0.3,-22.3065
0.32,-22.3464
0.34,-22.3065
0.36,-22.2666
0.38,-22.2267
0.4,-22.2267
0.42,-22.2666
0.44,-22.3464
0.46,-22.3464
0.48,-22.3464
0.5,-22.3863
0.52,-22.4262
0.54,-22.4262
0.56,-22.3863
0.58,-22.3464
0.6,-22.3065
0.62,-22.2666
0.64,-22.2666
0.66,-22.2267
0.68,-22.1468
0.7,-22.067
0.72,-21.9872
0.74,-21.9074
0.76,-21.8276
0.78,-21.7877
0.8,-21.7478
0.82,-21.6281
0.84,-21.5084
0.86,-21.3089
0.88,-21.0694
0.9,-20.7901
0.92,-20.5108
0.94,-20.0718
0.96,-19.4733
0.98,-18.6752
1,-17.4781
1.02,-15.8819
1.04,-13.6872
1.06,-10.5746
1.08,-6.22506
1.1,-0.319234
1.12,7.66161
1.14,17.6776
1.16,30.0479
1.18,45.7702
1.2,64.4453
1.2,64.1261
1.18,44.7326
1.16,28.3719
1.14,15.5626
1.12,5.14765
1.1,-1.83559
1.08,-8.14046
1.06,-12.2905
1.04,-15.2434
1.02,-17.2386
1,-18.5555
0.98,-19.5132
0.96,-20.1516
0.94,-20.5906
0.92,-20.9497
0.9,-21.2291
0.88,-21.4286
0.86,-21.6281
0.84,-21.7478
0.82,-21.8276
0.8,-21.9074
0.78,-21.9872
0.76,-22.0271
0.74,-22.067
0.72,-22.067
0.7,-22.1468
0.68,-22.1868
0.66,-22.2267
0.64,-22.1868
0.62,-22.1868
0.6,-22.1468
0.58,-22.2666
0.56,-22.2267
0.54,-22.1868
0.52,-22.1468
0.5,-22.1468
0.48,-22.1069
0.46,-22.1868
0.44,-22.1868
0.42,-22.1868
0.4,-22.3065
0.38,-22.3464
0.36,-22.3863
0.34,-22.4262
0.32,-22.3863
0.3,-22.4262
0.28,-22.4661
0.26,-22.4262
0.24,-22.4661
0.22,-22.4661
0.2,-22.4262
0.18,-22.4262
0.16,-22.4262
0.14,-22.4661
0.12,-22.4661
0.1,-22.4661
0.08,-22.4661
0.06,-22.4661
0.04,-22.4262
0.02,-22.4262
0,-22.4661
-0.02,-22.4661
-0.04,-22.4262
-0.06,-22.4262
-0.08,-22.4262
-0.1,-22.4661
-0.12,-22.506
-0.14,-22.506
-0.16,-22.4661
-0.18,-22.4262
-0.2,-22.4262
,
,
Parameter,Pixel 2
Voc (V),1.1008
Jsc (mA/cm^2),-22.4661
FF (%),76.3017
Vmpp (V),0.92
Jmpp (mA/cm^2),-20.5108
Efficiency (%),18.8699
Voc (V),1.10526
Jsc (mA/cm^2),-22.4661
FF (%),77.9482
Vmpp (V),0.94
Jmpp (mA/cm^2),-20.5906
Efficiency (%),19.3551
